MDL_Raw,SPR_Raw,HRPU_Raw,SDC_Raw,LTK_Raw,X2MR_Finish,age,hgt_in,wt_lb,BMI,Sex,IOCT_time
300,10.5,38,1.55,8,13.566666666666666,22,73,182,24.19161685,Male,2.8833333333333333
240,7.6,31,1.95,9,17.616666666666667,22,61,143,25.47659054,Female,3.716666666666667
200,5.8,10,1.9666666666666666,3,15.283333333333333,21,65,163,27.86537888,Female,4.15
300,9.2,43,1.55,16,15.25,22,67,186,28.18796924,Male,2.75
220,9.4,30,1.6833333333333333,8,15.75,22,73,200,26.63796012,Male,2.9833333333333334
300,12.6,30,2.716666666666667,10,17.1,21,70,214,30.33865066,Male,3.15
300,9.2,44,1.7666666666666666,13,13.2,22,68,163,24.37878421,Male,2.683333333333333
150,6.4,20,2.05,9,16.483333333333334,21,64,140,22.84566161,Female,3.05
260,6.8,37,1.6666666666666667,15,15.416666666666666,22,71,168,23.34047336,Male,3.1333333333333333
300,12.1,44,1.3,17,12.566666666666666,22,69,184,26.63693246,Male,2.3833333333333333
160,6.8,8,2.1666666666666665,0,18.666666666666668,21,68,157,24.17024215,Female,4.483333333333333
200,6.3,24,1.9666666666666666,10,15.516666666666667,23,68,138,20.87433398,Female,3.4833333333333334
300,9.8,52,1.6666666666666667,14,13.466666666666667,22,73,192,25.41478848,Male,2.8
170,4.6,12,2.3,0,15.85,23,66,143,23.67944488,Female,3.933333333333333
220,9.9,21,1.75,10,16.3,21,73,216,29.0843034,Male,3.183333333333333
200,7.8,23,1.8166666666666667,4,17.233333333333334,22,67,180,28.25093238,Male,3.3
150,5.8,12,1.9,12,14.8,21,70,154,21.56776113,Female,3.2666666666666666
240,10,23,1.8166666666666667,11,16.816666666666666,21,67,205,31.38992487,Male,3.033333333333333
260,11.4,24,1.5166666666666666,9,16.716666666666665,23,73,215,28.42514087,Male,2.683333333333333
260,10.7,36,1.4166666666666667,15,14.116666666666667,22,73,194,25.82251236,Male,3.033333333333333
220,8.4,35,1.75,0,16.75,22,69,194,28.70869388,Male,3.283333333333333
300,9.3,44,1.5333333333333334,12,12.466666666666667,22,68,168,25.59772342,Male,2.283333333333333
300,9.3,33,1.5,8,13,21,73,223,28.17672811,Male,2.75
240,8.3,41,1.95,10,15.7,22,68,175,27.30923463,Male,3.0166666666666666
300,8.9,35,1.6,15,13.7,22,72,175,23.00453261,Male,2.7666666666666666
150,6.5,17,1.9666666666666666,6,14.85,22,67,170,25.89668802,Female,4.266666666666667
150,5.3,21,1.95,6,15.433333333333334,22,63,118,20.76895516,Female,3.183333333333333
260,9.8,35,1.5,10,14.65,22,73,222,30.17156708,Male,3.2
240,6.5,33,1.7,9,17.883333333333333,22,68,164,24.26920513,Male,2.85
150,6.6,20,1.95,0,14.85,22,68,158,23.4645798,Female,3.85
220,6.6,40,1.6666666666666667,13,14.85,21,73,202,26.04536163,Male,2.95
150,6.7,3,1.8,0,16.883333333333333,22,66,166,25.73973839,Female,3.45
240,9.9,31,1.7333333333333334,8,15.833333333333334,22,74,206,26.70641142,Male,3.033333333333333
260,9.5,29,1.5666666666666667,10,14.15,21,71,190,26.41526626,Male,2.75
260,11,46,1.5,10,13.216666666666667,22,72,222,29.62793524,Male,2.783333333333333
240,7.8,23,1.6166666666666667,9,14.216666666666667,22,73,192,25.41478848,Male,2.7333333333333334
340,11.4,27,1.7166666666666666,11,16.116666666666667,21,72,181,24.59834319,Male,2.9833333333333334
260,9.8,31,1.5333333333333334,10,15.233333333333333,22,71,206,27.31749992,Male,2.65
340,12.7,32,1.45,4,17.116666666666667,23,72,270,36.69514915,Male,3.466666666666667
220,11.5,34,1.5833333333333333,14,15.3,22,76,212,26.05257736,Male,2.4833333333333334
340,10.3,34,1.6666666666666667,11,14.483333333333333,22,69,172,25.90245822,Male,2.816666666666667
340,9.7,36,1.5833333333333333,10,15.316666666666666,21,68,180,26.4889495,Male,2.816666666666667
260,8.6,34,1.75,12,17,25,67,209,33.15704937,Male,3.1333333333333333
260,10,33,1.55,14,16.583333333333332,22,70,189,26.88780888,Male,2.8833333333333333
240,8,48,1.8666666666666667,13,14.583333333333334,22,62,145,26.50807872,Male,2.533333333333333
260,7.4,30,1.9,7,17.016666666666666,22,70,191,25.99597632,Male,3.4166666666666665
300,10.8,24,1.8833333333333333,6,13.75,22,77,211,24.83560373,Male,2.7333333333333334
300,8.4,45,1.8833333333333333,18,14.666666666666666,22,67,160,25.23170586,Male,2.466666666666667
340,12.2,47,1.4333333333333333,11,14,22,74,205,26.37547609,Male,2.066666666666667
260,8.3,34,1.5666666666666667,6,16.066666666666666,21,70,173,24.29967754,Male,2.6166666666666667
300,9.6,23,1.6,0,14.05,22,75,206,25.0055587,Male,3.066666666666667
240,9,30,1.5166666666666666,7,18.266666666666666,22,67,168,27.17260631,Male,2.0833333333333335
260,9.5,41,1.6666666666666667,10,14.416666666666666,22,66,182,27.78008351,Male,2.8666666666666667
260,8.6,56,1.6166666666666667,10,15.066666666666666,22,68,177,26.99533539,Male,2.3666666666666667
240,9.5,37,1.8166666666666667,15,13.916666666666666,22,70,189,25.71644969,Male,2.933333333333333
200,9,32,1.7666666666666666,10,16.233333333333334,23,72,178,23.40116248,Male,2.966666666666667
170,5.9,19,1.95,6,15.35,22,66,136,22.51214831,Female,3.6166666666666667
300,11.8,20,1.45,13,17.816666666666666,23,72,215,28.29293091,Male,3.0166666666666666
300,9,41,1.6833333333333333,13,15.8,22,71,198,26.77386808,Male,3.0166666666666666
220,9.8,40,1.4833333333333334,13,15.933333333333334,21,72,178,24.19161685,Male,2.533333333333333
220,9.9,18,1.5666666666666667,10,14.966666666666667,22,75,180,22.77297204,Male,2.066666666666667
260,10.9,28,1.8,10,16.666666666666668,21,68,174,26.68143614,Male,2.066666666666667
240,7.6,25,1.6166666666666667,7,16.766666666666666,22,71,197,27.60673425,Male,2.933333333333333
240,9.5,23,1.7,0,13.316666666666666,22,75,231,28.80813842,Male,3.2333333333333334
280,10.6,33,1.6166666666666667,10,15.366666666666667,21,72,198,25.78094172,Male,2.9
260,9.3,25,1.65,8,15.166666666666666,23,74,189,23.67359805,Male,2.4833333333333334
260,8.5,34,1.8333333333333333,7,16.8,24,70,215,30.62622081,Male,3.15
240,9.8,35,1.3833333333333333,9,12.55,23,69,196,28.264745,Male,3.15
260,9.3,41,1.55,6,14,22,69,162,23.14939695,Male,2.433333333333333
300,9.4,35,1.5833333333333333,10,12.6,22,66,214,33.43026998,Male,2.0833333333333335
170,5.3,14,2.1666666666666665,0,15.983333333333333,21,67,157,23.8563429,Female,4.216666666666667
300,12.5,49,1.55,20,15.966666666666667,23,69,185,26.93289838,Male,2.933333333333333
340,12.3,50,1.55,25,14.266666666666667,21,68,162,25.11193989,Male,2.566666666666667
300,6.3,24,1.9333333333333333,16,15.566666666666666,23,67,159,24.17024215,Male,2.9833333333333334
340,11.5,41,1.5333333333333334,17,15,22,71,242,32.88972627,Male,2.6
200,8.7,33,1.9833333333333334,9,17,22,65,159,25.84728139,Male,3.2
150,5.7,12,2.4166666666666665,0,18.933333333333334,22,69,138,20.41723178,Female,3.7666666666666666
