Group,Year,Month,DayOfWeek,Wounded,Killed,Weapon,Region,Country,Target,MaleAttackers,FemaleAttackers
Unknown Group,2010,10,6,12,1,Car bomb,Europe,Russia,Security,1,0
Unknown Group,2007,3,2,1,1,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2008,8,2,10,2,Belt bomb,Asia,Iraq,Political,0,1
Boko Haram,2014,11,3,4,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2008,2,6,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2009,6,2,0,2,Car bomb,Asia,Afghanistan,Security,1,0
Palestinian Islamic Jihad,2005,10,3,30,6,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2008,6,6,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State,2014,10,3,0,0,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2012,7,6,43,17,Belt bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2017,8,3,42,7,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2015,10,7,27,15,Truck bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2002,11,1,60,2,Belt bomb,Asia,Israel,Civilian,1,0
Palestinian Islamic Jihad,2002,11,1,60,2,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2007,11,4,40,10,Motorcycle bomb,Asia,Pakistan,Security,1,0
Hamas,2005,1,2,5,1,Car bomb,Asia,Palestine,Security,1,0
Unknown Group,2011,1,6,79,25,Belt bomb,Africa,Egypt,Civilian,1,0
Unknown Group,2009,8,7,20,1,Car bomb,Asia,Iraq,Security,1,0
Tehrik-i-Taliban Pakistan,2010,11,4,100,18,Car bomb,Asia,Pakistan,Security,3,0
Taliban (IEA),2006,9,7,11,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,8,5,4,7,Belt bomb,Asia,Iraq,Security,1,0
Al-Shabaab,2007,10,3,3,2,Car bomb,Africa,Somalia,Political,1,0
Taliban (IEA),2007,8,5,6,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,9,1,4,1,Car bomb,Asia,Iraq,Security,1,0
Tehrik-i-Taliban Pakistan,2009,8,2,3,3,Car bomb,Asia,Pakistan,Security,1,0
Tehrik-i-Taliban Pakistan,2009,4,6,7,8,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2006,9,2,18,18,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2017,12,6,51,13,Belt bomb,Africa,Nigeria,Civilian,0,1
Boko Haram (Shekau Faction),2017,6,3,18,6,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2015,4,2,7,16,Car bomb,Asia,Iraq,Civilian,2,0
Hamas,2002,9,4,60,5,Other PBIED,Asia,Israel,Civilian,1,0
Palestinian Islamic Jihad,2002,9,4,60,5,Other PBIED,Asia,Israel,Civilian,1,0
Al-Shabaab,2007,6,7,0,7,Car bomb,Africa,Somalia,Political,1,0
Hamas,1997,7,3,170,18,Belt bomb,Asia,Israel,Civilian,2,0
Unknown Group,2005,2,4,0,1,Belt bomb,Asia,Iraq,Security,1,0
Islamic State - Khorasan Province,2019,6,4,13,11,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Taliban (IEA),2006,4,4,4,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2016,7,6,9,11,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in Iraq,2005,4,4,6,4,Belt bomb,Asia,Iraq,Security,1,0
Fatah al-Islam,2007,5,2,0,0,Belt bomb,Asia,Lebanon,Security,1,0
Unknown Group,2003,10,1,12,12,Truck bomb,Asia,Iraq,Political,1,0
Unknown Group,2008,2,6,0,3,Belt bomb,Asia,Iraq,Security,3,0
Unknown Group,2004,2,2,0,55,Truck bomb,Asia,Iraq,Security,0,1
Unknown Group,2015,10,3,0,10,Unspecified,Africa,Nigeria,Civilian,2,0
Boko Haram (Shekau Faction),2017,4,1,0,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Riyadus Salikhiin,2010,4,5,0,1,Belt bomb,Europe,Russia,Security,0,1
Jama'at Al-Tawhid Wa'al-Jihad,2004,5,4,25,7,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,4,7,11,3,Unspecified,Asia,Afghanistan,Security,1,0
Unknown Group,2017,6,7,3,2,Other PBIED,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2006,10,2,4,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Islamic State,2019,1,5,4,4,Car bomb,Asia,Syria,Security,2,0
Unknown Group,2007,2,2,6,4,Belt bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2002,4,1,20,10,Belt bomb,Asia,Israel,Security,1,0
Unknown Group,2016,4,7,2,4,Car bomb,Asia,Yemen,Security,1,0
Al-Qaeda in Iraq,2005,11,5,60,8,Truck bomb,Asia,Iraq,Civilian,2,0
Liberation Tigers of Tamil Eelam,1999,8,3,25,13,Belt bomb,Asia,Sri Lanka,Security,0,1
Unknown Group,2006,12,3,15,4,Other PBIED,Asia,Iraq,Civilian,1,0
Kurdistan Workers' Party,1998,12,2,9,0,Belt bomb,Asia,Turkey,Civilian,0,1
Unknown Group,2012,5,2,20,7,Truck bomb,Asia,Iraq,Security,1,0
Sergokala Bandit Group (Abdu-Salam),2010,9,6,30,0,Belt bomb,Europe,Russia,Security,1,0
Unknown Group,2007,2,4,3,1,Belt bomb,Asia,Iraq,Political,1,0
Unknown Group,2017,7,7,17,8,Other PBIED,Africa,Nigeria,Civilian,1,1
