company,battalion,m4_qual_category,m4_score,BrigadeName,grade_unmapped,fms_grade_type,primary_specialty_code,billet_specialty,designation_of_duties_performed,asi_and_sqi,time_in_active_service_years,age_bracket,sex,height,weight,height_weight_pass,body_fat_percent,aft_pass,aft_score_total,aft_score_plank,aft_score_push_up,aft_score_sprint_drag_carry,aft_score_2mi_run,aft_score_alt_aerobic,aft_raw_plank,aft_raw_plank_seconds,aft_raw_deadlift,aft_deadlift_score,aft_raw_push_up,aft_raw_sprint_drag_carry,aft_raw_2mi_run,aft_raw_sprint_drag_carry_seconds,aft_raw_2mi_run_seconds,aft_raw_alt_aerobic
A,1st Battalion,Expert,36,173rd Airborne Brigade,E5,Enlisted,42A,42A,Squad Leader,,21.8,41+,M,71,135,TRUE,21.5,TRUE,405,90,80,80,80,NA,3:05,185,253,75,45,1:59,14:02,119.1,842,NA
HHC,1st Battalion,Sharpshooter,32,173rd Airborne Brigade,E3,Enlisted,88M,88M,Medic,P,12.9,31-35,M,70,211,TRUE,23.4,FALSE,325,60,60,60,70,NA,1:41,101,250,75,20,2:42,17:51,161.8,1071,NA
A,1st Battalion,Sharpshooter,28,173rd Airborne Brigade,E3,Enlisted,11C,11C,Squad Leader,P,9.5,26-30,M,70,165,TRUE,12.4,TRUE,380,60,100,70,70,NA,1:32,92,272,80,69,2:17,16:32,137,992,NA
A,1st Battalion,Expert,40,173rd Airborne Brigade,E9,Enlisted,92Y,92Y,Supply Specialist,B4,17.8,36-40,M,71,185,TRUE,10.8,TRUE,390,70,80,60,80,NA,2:08,128,340,100,44,2:43,14:08,162.7,848,NA
B,3rd Battalion,Expert,39,173rd Airborne Brigade,O2,Officer,68W,68W,Supply Specialist,V,7.2,26-30,M,67,165,TRUE,8.4,TRUE,400,80,70,70,80,NA,2:57,177,340,100,35,2:29,15:27,149.2,927,NA
D,2nd Battalion,Expert,34,173rd Airborne Brigade,E9,Enlisted,42A,42A,Platoon Sergeant,P,12.8,31-35,M,70,169,TRUE,21.2,FALSE,350,70,80,70,70,NA,2:29,149,191,60,48,2:28,16:39,148.2,999,NA
B,2nd Battalion,Sharpshooter,27,173rd Airborne Brigade,E4,Enlisted,92Y,92Y,Admin,,2.2,22-25,M,71,166,TRUE,17.4,TRUE,375,70,90,60,70,NA,2:06,126,284,85,50,2:53,17:50,173.4,1070,NA
B,2nd Battalion,Expert,32,173rd Airborne Brigade,E3,Enlisted,35F,35F,Team Leader,,9.3,26-30,M,74,145,TRUE,15.8,TRUE,370,70,100,70,60,NA,2:12,132,220,70,63,2:18,19:49,137.5,1189,NA
A,1st Battalion,Expert,33,173rd Airborne Brigade,E4,Enlisted,11B,11B,Rifleman,,4.3,22-25,M,68,184,FALSE,29.2,TRUE,380,90,70,70,70,NA,3:50,230,266,80,33,2:12,16:36,132.4,996,NA
D,3rd Battalion,Expert,35,173rd Airborne Brigade,E9,Enlisted,31B,31B,Rifleman,C8,3.9,22-25,M,68,174,TRUE,12.1,TRUE,390,90,80,70,70,NA,3:06,186,260,80,41,2:24,17:27,143.7,1047,NA
A,2nd Battalion,Unqualified,13,173rd Airborne Brigade,E3,Enlisted,11C,11C,Squad Leader,,14.1,31-35,M,69,241,TRUE,16.5,FALSE,359,80,90,44,70,NA,2:51,171,254,75,55,3:10,16:29,190.5,989,NA
HHC,3rd Battalion,Expert,37,173rd Airborne Brigade,E4,Enlisted,92Y,92Y,Squad Leader,,21,41+,M,67,209,TRUE,15.2,TRUE,390,90,70,70,70,NA,3:29,209,317,90,30,2:12,17:02,131.7,1022,NA
D,3rd Battalion,Sharpshooter,32,173rd Airborne Brigade,E6,Enlisted,13B,13B,Rifleman,,4.5,22-25,M,77,181,TRUE,21.3,FALSE,350,80,70,60,70,NA,2:51,171,220,70,37,2:30,17:37,150.3,1057,NA
B,1st Battalion,Expert,35,173rd Airborne Brigade,O3,Officer,68W,68W,Rifleman,V,24.4,41+,F,66,156,TRUE,22.9,TRUE,430,90,90,70,80,NA,3:33,213,340,100,58,2:19,14:43,138.7,883,NA
B,2nd Battalion,Expert,35,173rd Airborne Brigade,E6,Enlisted,25U,25U,Gunner,,14.7,31-35,M,69,204,TRUE,17.1,TRUE,415,70,100,80,70,NA,2:06,126,337,95,63,1:56,16:23,115.9,983,NA
C,3rd Battalion,Expert,37,173rd Airborne Brigade,E4,Enlisted,88M,88M,Admin,,20.8,41+,M,66,182,TRUE,21.2,TRUE,405,70,80,80,100,NA,2:18,138,253,75,41,1:56,12:17,115.7,737,NA
A,2nd Battalion,Sharpshooter,32,173rd Airborne Brigade,O4,Officer,92Y,92Y,Supply Specialist,R,6.5,26-30,M,74,169,TRUE,15.6,TRUE,380,80,70,70,90,NA,2:44,164,238,70,38,2:11,13:19,131.4,799,NA
A,3rd Battalion,Sharpshooter,29,173rd Airborne Brigade,E1,Enlisted,19D,19D,Medic,B4,21.3,41+,M,68,185,TRUE,18.7,TRUE,390,90,80,70,70,NA,3:42,222,264,80,40,2:22,16:01,141.8,961,NA
C,3rd Battalion,Marksman,24,173rd Airborne Brigade,E6,Enlisted,13B,13B,Driver,R,10.1,31-35,M,68,198,TRUE,20.1,TRUE,395,80,80,70,90,NA,2:55,175,251,75,43,2:11,14:00,130.6,840,NA
D,2nd Battalion,Unqualified,15,173rd Airborne Brigade,E5,Enlisted,35F,35F,Supply Specialist,,6.7,26-30,F,63,164,TRUE,16.8,TRUE,370,80,70,70,70,NA,2:39,159,271,80,31,2:27,17:41,147.1,1061,NA
HHC,2nd Battalion,Sharpshooter,30,173rd Airborne Brigade,E3,Enlisted,11B,11B,Squad Leader,,24.6,41+,M,69,193,TRUE,18,TRUE,370,80,90,60,70,NA,2:48,168,233,70,50,2:33,17:31,152.9,1051,NA
HHC,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,E1,Enlisted,31B,31B,Squad Leader,,13.6,31-35,F,65,145,TRUE,27.9,TRUE,375,80,80,70,70,NA,2:37,157,248,75,40,2:22,17:30,141.6,1050,NA
HHC,3rd Battalion,Sharpshooter,33,173rd Airborne Brigade,E6,Enlisted,35F,35F,Driver,,2.1,22-25,F,67,150,TRUE,26.1,TRUE,365,70,80,60,70,NA,2:16,136,295,85,49,2:50,16:55,170.2,1015,NA
D,2nd Battalion,Sharpshooter,29,173rd Airborne Brigade,E2,Enlisted,35F,35F,Platoon Sergeant,R,13.5,31-35,M,67,162,TRUE,19.7,TRUE,365,70,90,60,70,NA,2:21,141,249,75,50,2:40,17:50,159.9,1070,NA
B,1st Battalion,Marksman,21,173rd Airborne Brigade,E4,Enlisted,35F,35F,Rifleman,V,17.2,36-40,F,67,145,TRUE,31.8,TRUE,400,80,80,60,90,NA,2:37,157,305,90,46,2:49,13:51,168.7,831,NA
D,3rd Battalion,Sharpshooter,28,173rd Airborne Brigade,E5,Enlisted,25U,25U,Rifleman,C8,18.1,36-40,M,69,177,TRUE,14.2,FALSE,386,51,100,90,70,NA,1:17,77,252,75,62,1:48,17:13,108.3,1033,NA
C,1st Battalion,Sharpshooter,29,173rd Airborne Brigade,E2,Enlisted,11B,11B,Supply Specialist,,4.3,22-25,M,68,127,FALSE,26.3,TRUE,405,90,90,70,70,NA,3:18,198,291,85,52,2:21,16:27,140.6,987,NA
B,1st Battalion,Unqualified,13,173rd Airborne Brigade,O1,Officer,68W,68W,Supply Specialist,,9.4,26-30,M,74,187,TRUE,22.1,TRUE,405,90,90,70,80,NA,3:47,227,247,75,57,2:28,14:02,148.3,842,NA
A,1st Battalion,Sharpshooter,28,173rd Airborne Brigade,E5,Enlisted,19D,19D,Platoon Sergeant,P,5.2,26-30,M,66,141,TRUE,14.4,TRUE,395,60,100,80,80,NA,1:57,117,254,75,67,2:08,14:28,127.7,868,NA
B,2nd Battalion,Marksman,28,173rd Airborne Brigade,E2,Enlisted,19D,19D,Team Leader,,5.3,26-30,F,65,159,TRUE,31.9,FALSE,355,60,70,80,60,NA,1:36,96,294,85,31,2:08,18:53,127.5,1133,NA
C,2nd Battalion,Sharpshooter,33,173rd Airborne Brigade,E4,Enlisted,88M,88M,Admin,,16.4,36-40,M,69,215,TRUE,21.1,TRUE,465,90,100,80,100,NA,3:09,189,333,95,62,2:09,11:40,129.1,700,NA
B,3rd Battalion,Expert,36,173rd Airborne Brigade,E4,Enlisted,25U,25U,Gunner,,11.1,31-35,M,70,159,TRUE,20.8,TRUE,410,80,80,70,100,NA,2:32,152,271,80,45,2:23,12:18,143.1,738,NA
D,1st Battalion,Marksman,26,173rd Airborne Brigade,E7,Enlisted,88M,88M,Supply Specialist,,24.2,41+,M,71,140,TRUE,8.9,TRUE,365,70,100,60,70,NA,2:20,140,215,65,62,2:36,16:16,156.2,976,NA
D,1st Battalion,Sharpshooter,26,173rd Airborne Brigade,E2,Enlisted,25B,25B,Driver,T,24.9,41+,F,67,142,TRUE,28.5,FALSE,355,90,90,60,60,78,3:08,188,165,55,56,2:34,18:22,154.2,1102,18:30
B,2nd Battalion,Expert,39,173rd Airborne Brigade,E7,Enlisted,11B,11B,Medic,,19.6,36-40,M,71,188,TRUE,23.5,TRUE,380,70,80,80,60,NA,2:13,133,318,90,40,1:55,19:49,115.2,1189,NA
HHC,1st Battalion,Expert,34,173rd Airborne Brigade,E5,Enlisted,42A,42A,Team Leader,S,9.1,26-30,M,77,151,TRUE,18.1,FALSE,350,80,60,80,60,NA,2:54,174,236,70,28,1:54,18:18,113.6,1098,NA
D,2nd Battalion,Expert,37,173rd Airborne Brigade,E4,Enlisted,13B,13B,Admin,,21.2,41+,M,70,210,TRUE,17.9,FALSE,299,60,70,60,49,NA,1:52,112,191,60,34,2:31,20:57,151.3,1257,NA
HHC,1st Battalion,Sharpshooter,29,173rd Airborne Brigade,E1,Enlisted,92Y,92Y,Team Leader,,21,41+,M,73,206,TRUE,15.1,TRUE,370,70,90,70,80,NA,2:06,126,198,60,51,2:17,15:28,137.1,928,NA
D,1st Battalion,Marksman,23,173rd Airborne Brigade,O2,Officer,25U,25U,Platoon Sergeant,,19.6,36-40,M,78,178,FALSE,26.1,TRUE,410,70,90,70,80,NA,2:21,141,340,100,55,2:11,15:34,131.2,934,NA
B,2nd Battalion,Unqualified,17,173rd Airborne Brigade,E5,Enlisted,31B,31B,Medic,,1.2,18-21,M,69,185,TRUE,20.6,FALSE,343,43,70,70,100,NA,1:04,64,187,60,38,2:13,12:02,132.8,722,NA
B,2nd Battalion,Expert,38,173rd Airborne Brigade,E4,Enlisted,35F,35F,Driver,,9.9,26-30,M,74,151,TRUE,17.6,TRUE,380,70,100,60,80,NA,2:03,123,236,70,61,2:46,14:44,165.5,884,NA
C,1st Battalion,Marksman,25,173rd Airborne Brigade,E6,Enlisted,88M,88M,Rifleman,,25,41+,M,69,196,TRUE,18.7,TRUE,385,70,80,90,70,NA,2:19,139,258,75,48,1:48,16:26,107.5,986,NA
A,2nd Battalion,Sharpshooter,30,173rd Airborne Brigade,E1,Enlisted,68W,68W,Medic,,18.8,36-40,M,73,214,FALSE,26.8,FALSE,405,90,100,100,60,NA,3:06,186,166,55,70,1:24,18:31,84.1,1111,NA
HHC,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E3,Enlisted,35F,35F,Team Leader,,1.8,18-21,M,69,124,TRUE,21.4,TRUE,365,70,80,70,80,NA,2:29,149,201,65,41,2:16,14:57,136.2,897,NA
B,1st Battalion,Expert,34,173rd Airborne Brigade,E3,Enlisted,68W,68W,Platoon Sergeant,R,16.7,36-40,M,77,131,TRUE,19.7,FALSE,334,59,80,60,70,NA,1:28,88,216,65,48,2:34,17:54,153.8,1074,NA
B,1st Battalion,Sharpshooter,33,173rd Airborne Brigade,E4,Enlisted,19D,19D,Gunner,P,13.9,31-35,M,71,225,TRUE,14.5,TRUE,405,70,90,90,80,NA,2:24,144,254,75,53,1:37,15:58,96.9,958,NA
B,1st Battalion,Sharpshooter,32,173rd Airborne Brigade,E8,Enlisted,35F,35F,Platoon Sergeant,B4,13.9,31-35,M,67,182,FALSE,26.8,TRUE,385,70,90,70,80,NA,2:14,134,254,75,53,2:18,14:35,138,875,NA
D,3rd Battalion,Marksman,21,173rd Airborne Brigade,E6,Enlisted,11B,11B,Platoon Sergeant,C8,12.9,31-35,M,74,170,TRUE,22.4,TRUE,405,80,90,80,80,NA,2:45,165,240,75,51,2:10,14:52,129.7,892,NA
C,3rd Battalion,Sharpshooter,31,173rd Airborne Brigade,E7,Enlisted,31B,31B,Platoon Sergeant,,0.9,18-21,M,68,178,TRUE,17.1,TRUE,370,90,70,60,80,NA,3:29,209,221,70,39,2:57,15:37,177.2,937,NA
HHC,3rd Battalion,Sharpshooter,31,173rd Airborne Brigade,E5,Enlisted,35F,35F,Rifleman,B4,10.7,31-35,M,70,185,TRUE,19.8,TRUE,410,70,100,90,70,NA,2:13,133,274,80,64,1:50,16:26,109.6,986,NA
B,2nd Battalion,Sharpshooter,29,173rd Airborne Brigade,O1,Officer,92Y,92Y,Admin,,22,41+,F,67,127,TRUE,19.9,TRUE,385,70,100,70,70,NA,2:28,148,254,75,70,2:14,16:12,133.6,972,NA
B,2nd Battalion,Expert,37,173rd Airborne Brigade,W1,Warrant,42A,42A,Rifleman,V,1.3,18-21,M,72,173,TRUE,13.9,FALSE,353,53,80,70,80,NA,1:19,79,223,70,40,2:18,15:09,137.9,909,NA
B,1st Battalion,Expert,36,173rd Airborne Brigade,E3,Enlisted,25U,25U,Driver,C8,17.7,36-40,M,68,236,TRUE,15.5,TRUE,385,90,80,70,80,NA,3:41,221,219,65,41,2:22,14:09,142.1,849,NA
HHC,1st Battalion,Sharpshooter,35,173rd Airborne Brigade,E2,Enlisted,25U,25U,Squad Leader,S,4,22-25,F,63,148,TRUE,28.8,TRUE,370,60,90,70,80,NA,1:35,95,233,70,53,2:14,14:15,134,855,NA
A,1st Battalion,Unqualified,11,173rd Airborne Brigade,E2,Enlisted,13B,13B,Supply Specialist,S,9.1,26-30,M,68,178,TRUE,19.1,FALSE,350,70,70,60,80,NA,2:15,135,224,70,35,2:44,15:45,164.1,945,NA
A,1st Battalion,Expert,35,173rd Airborne Brigade,E4,Enlisted,11B,11B,Squad Leader,,21.7,41+,M,76,209,TRUE,17.6,FALSE,350,60,70,80,60,NA,1:55,115,265,80,30,1:52,18:53,111.5,1133,NA
D,3rd Battalion,Marksman,24,173rd Airborne Brigade,E4,Enlisted,31B,31B,Driver,P,17.4,36-40,M,72,180,TRUE,21.4,TRUE,400,80,90,70,80,NA,2:44,164,263,80,53,2:24,15:17,144,917,NA
HHC,2nd Battalion,Expert,40,173rd Airborne Brigade,E4,Enlisted,68W,68W,Supply Specialist,,14.1,31-35,M,64,203,TRUE,13.7,TRUE,370,70,80,70,80,NA,2:28,148,226,70,46,2:22,15:20,141.8,920,NA
B,3rd Battalion,Unqualified,12,173rd Airborne Brigade,E3,Enlisted,11B,11B,Supply Specialist,R,3.6,22-25,M,71,195,TRUE,23.8,TRUE,385,80,90,70,70,NA,2:56,176,257,75,59,2:16,16:07,136.2,967,NA
A,1st Battalion,Marksman,25,173rd Airborne Brigade,E3,Enlisted,11B,11B,Team Leader,R,12,31-35,M,67,209,TRUE,13.4,TRUE,385,80,70,70,80,NA,2:51,171,299,85,37,2:18,15:26,138.3,926,NA
HHC,2nd Battalion,Expert,35,173rd Airborne Brigade,O1,Officer,11C,11C,Gunner,,7.3,26-30,F,64,129,TRUE,23.4,TRUE,400,80,70,80,100,NA,2:52,172,234,70,35,2:01,11:20,120.8,680,NA
D,2nd Battalion,Expert,34,173rd Airborne Brigade,E3,Enlisted,31B,31B,Gunner,,15.6,36-40,M,68,165,TRUE,7.4,TRUE,360,60,60,70,100,NA,1:34,94,226,70,20,2:25,12:26,145.1,746,NA
D,1st Battalion,Sharpshooter,29,173rd Airborne Brigade,E2,Enlisted,35F,35F,Team Leader,,0,18-21,M,69,202,TRUE,22.3,FALSE,345,60,90,60,70,NA,1:44,104,209,65,59,2:35,17:17,154.7,1037,NA
A,1st Battalion,Expert,33,173rd Airborne Brigade,E5,Enlisted,68W,68W,Supply Specialist,,14.2,31-35,M,70,175,TRUE,13.6,TRUE,365,60,80,60,70,NA,1:55,115,337,95,42,2:34,16:02,153.5,962,NA
C,3rd Battalion,Marksman,24,173rd Airborne Brigade,E4,Enlisted,25U,25U,Squad Leader,,21.7,41+,F,63,126,TRUE,29,TRUE,370,70,70,60,80,79,2:10,130,302,90,33,2:54,15:09,174,909,18:30
C,2nd Battalion,Marksman,21,173rd Airborne Brigade,E5,Enlisted,35F,35F,Platoon Sergeant,,14.1,31-35,M,68,160,FALSE,26.5,TRUE,410,80,90,70,70,NA,2:35,155,340,100,55,2:26,16:32,145.6,992,NA
HHC,2nd Battalion,Sharpshooter,29,173rd Airborne Brigade,E5,Enlisted,25B,25B,Rifleman,R,15.6,36-40,M,63,189,TRUE,24,TRUE,370,90,60,70,70,NA,3:40,220,260,80,23,2:14,17:16,133.5,1036,NA
HHC,1st Battalion,Expert,35,173rd Airborne Brigade,E7,Enlisted,25U,25U,Rifleman,,19.6,36-40,M,75,158,TRUE,20.8,TRUE,400,90,80,90,70,NA,3:44,224,233,70,46,1:43,17:04,102.6,1024,NA
D,1st Battalion,Sharpshooter,29,173rd Airborne Brigade,E6,Enlisted,25B,25B,Gunner,P,14.6,31-35,M,66,171,TRUE,23.4,TRUE,430,80,100,70,90,NA,2:59,179,301,90,70,2:27,13:40,147.2,820,NA
HHC,3rd Battalion,Expert,36,173rd Airborne Brigade,E7,Enlisted,25U,25U,Driver,,18.3,36-40,M,71,176,TRUE,21.6,TRUE,400,80,80,90,80,90,2:32,152,231,70,43,1:37,15:59,97.3,959,24:30
D,2nd Battalion,Sharpshooter,33,173rd Airborne Brigade,E4,Enlisted,31B,31B,Medic,,5.4,26-30,F,65,159,TRUE,35,TRUE,405,80,90,70,80,NA,2:38,158,289,85,58,2:26,15:13,146.3,913,NA
B,1st Battalion,Expert,34,173rd Airborne Brigade,E4,Enlisted,42A,42A,Platoon Sergeant,,22.6,41+,M,71,140,TRUE,12.5,TRUE,390,80,90,70,80,NA,2:44,164,221,70,58,2:25,15:03,144.7,903,NA
B,3rd Battalion,Sharpshooter,27,173rd Airborne Brigade,E5,Enlisted,31B,31B,Admin,,1.1,18-21,M,75,157,FALSE,26.4,FALSE,350,70,70,70,60,NA,2:24,144,272,80,34,2:26,19:30,145.6,1170,NA
A,2nd Battalion,Expert,37,173rd Airborne Brigade,E3,Enlisted,42A,42A,Team Leader,,11.7,31-35,M,69,189,TRUE,25,TRUE,420,70,90,90,80,NA,2:00,120,310,90,58,1:38,14:33,97.6,873,NA
B,1st Battalion,Sharpshooter,26,173rd Airborne Brigade,E9,Enlisted,92Y,92Y,Supply Specialist,,22.5,41+,M,70,143,TRUE,18.4,TRUE,390,70,90,80,80,NA,2:21,141,225,70,55,2:06,14:49,125.8,889,NA
HHC,3rd Battalion,Unqualified,15,173rd Airborne Brigade,E6,Enlisted,35F,35F,Platoon Sergeant,,15.9,36-40,M,71,215,TRUE,16.5,TRUE,390,100,70,80,80,NA,4:00,240,195,60,30,2:01,14:10,120.6,850,NA
HHC,3rd Battalion,Expert,34,173rd Airborne Brigade,E4,Enlisted,11C,11C,Rifleman,,4.1,22-25,M,76,185,TRUE,22.6,TRUE,380,80,70,80,80,NA,2:30,150,230,70,37,2:03,15:13,123,913,NA
D,3rd Battalion,Sharpshooter,24,173rd Airborne Brigade,O4,Officer,19D,19D,Squad Leader,P,0.4,18-21,M,68,190,TRUE,19.7,FALSE,345,60,90,70,60,NA,1:58,118,213,65,58,2:27,18:09,147,1089,NA
A,1st Battalion,Expert,37,173rd Airborne Brigade,E6,Enlisted,13B,13B,Driver,,12.5,31-35,M,72,172,TRUE,19.3,FALSE,376,90,80,70,80,NA,3:04,184,169,56,45,2:11,14:09,131.2,849,NA
D,1st Battalion,Sharpshooter,32,173rd Airborne Brigade,E2,Enlisted,92Y,92Y,Admin,,22.7,41+,F,62,116,TRUE,35,TRUE,420,80,90,60,100,NA,2:47,167,310,90,53,2:57,12:34,176.7,754,NA
