,game_date,pitch_type,pitch_name,release_speed,batter,events,zone,stand,balls,strikes,game_year,plate_x,plate_z,pitch_number,in_out
0,2024-09-25,KC,Knuckle Curve,82.9,656305,strikeout,14.0,R,2,2,2024,0.47,0.96,5,outside
1,2024-09-25,KC,Knuckle Curve,82.7,656305,,9.0,R,2,1,2024,0.55,1.68,4,outside
2,2024-09-25,KC,Knuckle Curve,82.7,656305,,11.0,R,1,1,2024,-1.88,3.08,3,inside
3,2024-09-25,FF,4-Seam Fastball,94.8,656305,,13.0,R,1,0,2024,-0.85,2.38,2,inside
4,2024-09-25,KC,Knuckle Curve,82.8,656305,,11.0,R,0,0,2024,-1.69,3.56,1,inside
5,2024-09-25,FF,4-Seam Fastball,94.6,664774,field_out,6.0,L,3,1,2024,0.39,2.19,5,inside
6,2024-09-25,KC,Knuckle Curve,83.1,664774,,13.0,L,2,1,2024,-0.14,0.68,4,outside
7,2024-09-25,CH,Changeup,85.9,664774,,13.0,L,1,1,2024,-1.26,2.17,3,outside
8,2024-09-25,FF,4-Seam Fastball,93.6,664774,,8.0,L,1,0,2024,0.12,1.65,2,inside
9,2024-09-25,KC,Knuckle Curve,82.8,664774,,13.0,L,0,0,2024,-0.41,0.82,1,outside
10,2024-09-25,CH,Changeup,87.3,671218,double,4.0,R,0,2,2024,-0.4,2.6,3,inside
11,2024-09-25,FF,4-Seam Fastball,92.6,671218,,6.0,R,0,1,2024,0.54,1.99,2,outside
12,2024-09-25,KC,Knuckle Curve,81.8,671218,,8.0,R,0,0,2024,-0.05,1.92,1,inside
13,2024-09-25,FF,4-Seam Fastball,93.5,573262,field_out,2.0,L,1,2,2024,0.03,3.37,4,inside
14,2024-09-25,CH,Changeup,86.3,573262,,4.0,L,1,1,2024,-0.63,2.16,3,outside
15,2024-09-25,FF,4-Seam Fastball,91.7,573262,,14.0,L,0,1,2024,1.44,2.61,2,inside
16,2024-09-25,FF,4-Seam Fastball,91.9,573262,,9.0,L,0,0,2024,0.31,2.0,1,inside
17,2024-09-25,KC,Knuckle Curve,83.2,689172,strikeout,14.0,L,2,2,2024,0.35,0.22,5,inside
18,2024-09-25,CH,Changeup,86.0,689172,,7.0,L,2,1,2024,-0.6,1.64,4,outside
19,2024-09-25,CH,Changeup,85.1,689172,,13.0,L,1,1,2024,-1.31,1.9,3,outside
20,2024-09-25,FF,4-Seam Fastball,93.1,689172,,13.0,L,1,0,2024,-0.36,1.45,2,outside
21,2024-09-25,KC,Knuckle Curve,80.3,689172,,13.0,L,0,0,2024,-0.96,1.7,1,outside
22,2024-09-25,KC,Knuckle Curve,81.7,687529,strikeout,14.0,L,0,2,2024,0.62,0.66,4,inside
23,2024-09-25,FF,4-Seam Fastball,93.8,687529,,4.0,L,0,2,2024,-0.38,2.52,3,outside
24,2024-09-25,KC,Knuckle Curve,81.3,687529,,14.0,L,0,1,2024,0.02,1.46,2,inside
25,2024-09-25,FF,4-Seam Fastball,93.3,687529,,4.0,L,0,0,2024,-0.79,2.84,1,outside
26,2024-09-25,FC,Cutter,89.3,666149,strikeout,14.0,R,3,2,2024,0.21,1.43,7,outside
