"id","treatment","speed"
1,"mantis",315
1,"no_mantis",296
2,"mantis",187
2,"no_mantis",198
3,"mantis",248
3,"no_mantis",155
4,"mantis",266
4,"no_mantis",274
5,"mantis",251
5,"no_mantis",192
6,"mantis",217
6,"no_mantis",341
7,"mantis",324
7,"no_mantis",217
8,"mantis",218
8,"no_mantis",289
9,"mantis",358
9,"no_mantis",267
10,"mantis",220
10,"no_mantis",194
11,"mantis",311
11,"no_mantis",349
12,"mantis",375
12,"no_mantis",288
13,"mantis",133
13,"no_mantis",251
14,"mantis",206
14,"no_mantis",264
15,"mantis",216
15,"no_mantis",290
16,"mantis",266
16,"no_mantis",251
17,"mantis",206
17,"no_mantis",48
18,"mantis",49
18,"no_mantis",264
19,"mantis",63
19,"no_mantis",221
20,"mantis",312
20,"no_mantis",258
21,"mantis",204
21,"no_mantis",284
22,"mantis",107
22,"no_mantis",338
23,"mantis",213
23,"no_mantis",197
24,"mantis",305
24,"no_mantis",331
25,"mantis",350
25,"no_mantis",268
26,"mantis",196
26,"no_mantis",314
27,"mantis",208
27,"no_mantis",306
28,"mantis",108
28,"no_mantis",293
29,"mantis",255
29,"no_mantis",177
30,"mantis",182
30,"no_mantis",240
31,"mantis",255
31,"no_mantis",287
32,"mantis",271
32,"no_mantis",183
33,"mantis",293
33,"no_mantis",210
34,"mantis",184
34,"no_mantis",284
35,"mantis",258
35,"no_mantis",296
36,"mantis",111
36,"no_mantis",276
37,"mantis",173
37,"no_mantis",187
38,"mantis",168
38,"no_mantis",173
39,"mantis",65
39,"no_mantis",345
40,"mantis",227
40,"no_mantis",263
41,"mantis",238
41,"no_mantis",251
42,"mantis",201
42,"no_mantis",238
